Country,age,BR,IR
Cote d'Ivoire,0-14,0.411960132890366,0.246073298429319
Cote d'Ivoire,0-4,0.164750957854406,0.0936143831370118
Cote d'Ivoire,5-14,2.025,2.56603773584906
DRC,0-14,2.20728291316527,0.373106646058733
DRC,0-4,1.74226804123711,0.148315331291311
DRC,5-14,2.76073619631902,5.59550561797753
Malawi,0-14,0.424802110817942,0.38659793814433
Malawi,0-4,0.129213483146067,0.25109649122807
Malawi,5-14,5,0.663677130044843
Uganda,0-14,1.16666666666667,0.407447973713034
Uganda,0-4,1.175,0.928909952606635
Uganda,5-14,1.15789473684211,0.250712250712251
Zimbabwe,0-14,1.71604938271605,0.177304964539007
Zimbabwe,0-4,1.31944444444444,0.376470588235294
Zimbabwe,5-14,4.88888888888889,0.0770142180094787
